Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2011,FEMALE,HISPANIC,GERALDINE,13,75
2011,FEMALE,HISPANIC,GIA,21,67
2011,FEMALE,HISPANIC,GIANNA,49,42
2011,FEMALE,HISPANIC,GISELLE,38,51
2011,FEMALE,HISPANIC,GRACE,36,53
2011,FEMALE,HISPANIC,GUADALUPE,26,62
2011,FEMALE,HISPANIC,HAILEY,126,8
2011,FEMALE,HISPANIC,HALEY,14,74
2011,FEMALE,HISPANIC,HANNAH,17,71
2011,FEMALE,HISPANIC,HAYLEE,17,71
2011,FEMALE,HISPANIC,HAYLEY,13,75
2011,FEMALE,HISPANIC,HAZEL,10,78
2011,FEMALE,HISPANIC,HEAVEN,15,73
2011,FEMALE,HISPANIC,HEIDI,15,73
2011,FEMALE,HISPANIC,HEIDY,16,72
2011,FEMALE,HISPANIC,HELEN,13,75
2011,FEMALE,HISPANIC,IMANI,11,77
2011,FEMALE,HISPANIC,INGRID,11,77
2011,FEMALE,HISPANIC,IRENE,11,77
2011,FEMALE,HISPANIC,IRIS,10,78
2011,FEMALE,HISPANIC,ISABEL,28,60
2011,FEMALE,HISPANIC,ISABELA,10,78
2011,FEMALE,HISPANIC,ISABELLA,331,1
2011,FEMALE,HISPANIC,ISABELLE,18,70
2011,FEMALE,HISPANIC,ISIS,13,75
2011,FEMALE,HISPANIC,ITZEL,27,61
2011,FEMALE,HISPANIC,IZABELLA,23,65
2011,FEMALE,HISPANIC,JACQUELINE,30,58
2011,FEMALE,HISPANIC,JADA,21,67
2011,FEMALE,HISPANIC,JADE,50,41
2011,FEMALE,HISPANIC,JAELYNN,11,77
2011,FEMALE,HISPANIC,JAMIE,11,77
2011,FEMALE,HISPANIC,JANELLE,12,76
2011,FEMALE,HISPANIC,JASLENE,11,77
2011,FEMALE,HISPANIC,JASMIN,20,68
2011,FEMALE,HISPANIC,JASMINE,41,48
2011,FEMALE,HISPANIC,JAYDA,10,78
2011,FEMALE,HISPANIC,JAYLA,33,55
2011,FEMALE,HISPANIC,JAYLAH,12,76
2011,FEMALE,HISPANIC,JAYLEEN,51,40
2011,FEMALE,HISPANIC,JAYLENE,22,66
2011,FEMALE,HISPANIC,JAYLIN,13,75
2011,FEMALE,HISPANIC,JAYLYN,10,78
2011,FEMALE,HISPANIC,JAZLYN,16,72
2011,FEMALE,HISPANIC,JAZMIN,24,64
2011,FEMALE,HISPANIC,JAZMINE,14,74
2011,FEMALE,HISPANIC,JENNIFER,59,34
2011,FEMALE,HISPANIC,JESSICA,46,44
2011,FEMALE,HISPANIC,JIMENA,11,77
2011,FEMALE,HISPANIC,JOCELYN,46,44
2011,FEMALE,HISPANIC,JOHANNA,12,76
2011,FEMALE,HISPANIC,JOSELYN,30,58
